symbol,multiplier,guard_activation_pct,atr_dominance_pct,risk_overshoot_p95,position_reduction_pct,num_candles
BTCUSDT,1.0,90.79,9.21,1.0,0.0,2878
BTCUSDT,1.5,53.61,46.39,1.0,0.0,2878
BTCUSDT,2.0,25.43,74.57,1.0,0.0,2878
BTCUSDT,2.5,16.12,83.88,1.0,0.0,2878
BTCUSDT,3.0,9.87,90.13,1.0,0.0,2878
BTCUSDT,3.5,5.32,94.68,1.0,0.0,2878
BTCUSDT,4.0,0.69,99.31,1.0,0.0,2878
BTCUSDT,4.5,0.1,99.9,1.0,0.0,2878
BROCCOLI714USDT,1.0,84.92,15.08,1.0,0.0,2878
BROCCOLI714USDT,1.5,65.46,34.54,1.0,0.0,2878
BROCCOLI714USDT,2.0,45.8,54.2,1.0,0.0,2878
BROCCOLI714USDT,2.5,33.81,66.19,1.0,0.0,2878
BROCCOLI714USDT,3.0,22.79,77.21,1.0,0.0,2878
BROCCOLI714USDT,3.5,12.54,87.46,1.0,0.0,2878
BROCCOLI714USDT,4.0,7.96,92.04,1.0,0.0,2878
BROCCOLI714USDT,4.5,5.0,95.0,1.0,0.0,2878
XAUUSDT,1.0,79.6,20.4,1.0,0.0,2878
XAUUSDT,1.5,41.21,58.79,1.0,0.0,2878
XAUUSDT,2.0,31.51,68.49,1.0,0.0,2878
XAUUSDT,2.5,30.09,69.91,1.0,0.0,2878
XAUUSDT,3.0,29.08,70.92,1.0,0.0,2878
XAUUSDT,3.5,27.9,72.1,1.0,0.0,2878
XAUUSDT,4.0,26.37,73.63,1.0,0.0,2878
XAUUSDT,4.5,23.87,76.13,1.0,0.0,2878
QNTUSDT,1.0,94.2,5.8,1.0,0.0,2878
QNTUSDT,1.5,51.88,48.12,1.0,0.0,2878
QNTUSDT,2.0,20.47,79.53,1.0,0.0,2878
QNTUSDT,2.5,8.76,91.24,1.0,0.0,2878
QNTUSDT,3.0,2.57,97.43,1.0,0.0,2878
QNTUSDT,3.5,0.31,99.69,1.0,0.0,2878
QNTUSDT,4.0,0.0,100.0,1.0,0.0,2878
QNTUSDT,4.5,0.0,100.0,1.0,0.0,2878
SOLUSDT,1.0,92.11,7.89,1.0,0.0,2878
SOLUSDT,1.5,55.35,44.65,1.0,0.0,2878
SOLUSDT,2.0,24.36,75.64,1.0,0.0,2878
SOLUSDT,2.5,10.84,89.16,1.0,0.0,2878
SOLUSDT,3.0,6.53,93.47,1.0,0.0,2878
SOLUSDT,3.5,1.77,98.23,1.0,0.0,2878
SOLUSDT,4.0,0.31,99.69,1.0,0.0,2878
SOLUSDT,4.5,0.03,99.97,1.0,0.0,2878
